"SUBJECT","ROUND","SURVEY_DAY","RESPONDER","SEASON","CONSUMPTION_DAY","CONSUMPTION_MONTH","CONSUMPTION_YEAR","WEEK_DAY","EXCEPTION_DAY","CONSUMPTION_TIME_HOUR","CONSUMPTION_TIME_MINUTES","MEAL_NAME","PLACE","FOOD_TYPE","RECIPE_CODE","RECIPE_DESCR","RECIPE_DESCR_ENG","FOODEX2_RECIPE_CODE","FOODEX2_RECIPE_DESCR","AMOUNT_RECIPE","CODE_INGREDIENT","INGREDIENT","INGREDIENT_ENG","FOODEX2_INGR_CODE","FOODEX2_INGR_DESCR","FOOD_AMOUNT_UNPROC","FOOD_AMOUNT_CONS","FOOD_AMOUNT_REPORTED","ENERGY_kcal","WATER_g","PROTEIN_g","A_PROT_g","V_PROT_g","CARBOH_g","SUGAR_g","FIBTG_g","ALCOHOL_g","FAT_g","SAT_FAT_g","MUFA_g","PUFA_g","TFA_g","CHOL_mg","CALC_mg","IRON_mg","ZINC_mg","MG_mg","PHOS_mg","POTA_mg","NA_mg","CU_mg","IOD_mcg","SE_mcg","MN_mg","VITC_mg","THIA_mg","RIBO_mg","NIAC_mg","VITB5_mg","VITB6_mg","FOLDFE_mcg","FOL_mcg","FOLFD_mcg","FOLFRE_mcg","FOLAC_mcg","VITB12_mcg","VITA_RAE_mcg","VITA_RE_mcg","BCAROT_mcg","RETOL_mcg","VITD_mcg","VITE_mg","VITK_mcg","PHY_mg","VERSION"
1,1,2,,,,,,,,,,,,,,,,,,,27000,,"PASSION FRUIT JUICE,HOME-MADE,W/SUGAR","A03AA#F10.A077J$F22.A07SS","Juice, passion fruit,  QUAL=With added sugar,  PLACE=Home prepared (family, social networks, proxies)",,416.9,416.9,213,,1.6,,,56.7,,,,0.2,,,,,,17,1,0.21,,,,,,,,,124.22,0,0.54,6.09,,0.21,29,,,,,0,150,,,,,,,,""
1,1,2,,,,,,,,,,,,,,,,,,,1203,,"RICE,WHITE GRAIN (POLISHED),FRIED","A003D#F28.A07GR","Rice grain, polished,  PROCESS=Frying",,431,431,759,,13.8,,,167.2,,,,1.3,,,,,,17,1.72,2.59,,,,,,,,,0,0.11,0.09,3.37,,0.28,13,,,,,0,0,,,,,,,,""
1,1,2,,,,,,,,,,,,,,,,,,,26002,,"SUGAR,GRANULATED,ALL GRADES","A032H","Sucrose (common sugar)",,21.1,21.1,82,,0,,,21.1,,,,0,,,,,,0,0,0,,,,,,,,,0,0,0,0,,0,0,,,,,0,0,,,,,,,,""
1,1,2,,,,,,,,,,,,,,,,,,,26002,,"SUGAR,GRANULATED,ALL GRADES","A032H","Sucrose (common sugar)",,26.9,26.9,104,,0,,,26.9,,,,0,,,,,,0,0,0,,,,,,,,,0,0,0.01,0,,0,0,,,,,0,0,,,,,,,,""
1,1,2,,,,,,,,,,,,,,,,,,,4010,,"SWEET POTATO,YELLOW FLESH,FRESH,STEAMED","A010C#F28.A07GP$F10.A0F5H","Sweet potatoes, PROCESS = Steaming, QUALITATIVE-INFO = Yellow",,340,340,465,,8.5,,,108.9,,,,0.3,,,,,,154,3.13,1.56,,,,,,,,,9.76,0.34,0.34,2.89,,1.05,54,,,,,0,722,,,,,,,,""
1,1,2,,,,,,,,,,,,,,,,,,,725002,,"Vegetable oil,Bidco,Ufuta,Vitamin A fortified,cooked","A036N#F09.A0EXZ","Vegetable fats and oils, edible, FORT=Vitamin A(retinol, carotenoids)",,3.4,3.4,30,,0,,,0,,,,3.4,,,,,,0,0,0,,,,,,,,,0,0,0,0,,0,0,,,,,0,59,,,,,,,,""
2,1,1,,,,,,,,,,,,,,,,,,,802020,,"* CASSAVA FLOUR,RAW *BOILED*","A16RD#F27.A04JX$F28.A07LA$F28.A07GL","Dried starchy roots and tuber products, SOURCE-COMMODITIES = Cassava roots and similar-, PROCESS = Grinding / milling / crushing, PROCESS = Boiling",,246,246,772,,6.4,,,188.4,,,,1.7,,,,,,77,4.67,1.72,,,,,,,,,141.7,0.62,0,3.1,,1.55,62,,,,,0,15,,,,,,,,""
2,1,1,,,,,,,,,,,,,,,,,,,815021,,"* FISH,MUKENE (TYPE 5),DRIED *BOILED*","A02JP#F01.A0K2S$F27.A026X$F28.A07GL","Dried fish, SOURCE = Silver cyprinid (as animal), SOURCE-COMMODITIES = Freshwater fish, PROCESS = Boiling",,5.8,5.8,21,,2.4,,,0,,,,1.2,,,,,,6,0.12,0.11,,,,,,,,,0.08,0.01,0.03,0.41,,0.04,1,,,,,1.75,3,,,,,,,,""
2,1,1,,,,,,,,,,,,,,,,,,,808007,,"* GROUNDNUTS,ALL TYPES,GROUND (POWDERED),RAW *BOILED*","A015H#F03.A06JD$F28.A07HS$F28.A07GL","Peanuts,  STATE=Powder,  PROCESS=Raw, no heat treatment,  PROCESS=Boiling",,32.9,32.9,186,,8.5,,,5.3,,,,16.2,,,,,,30,1.51,1.08,,,,,,,,,0,0.18,0.04,3.77,,0.11,63,,,,,0,0,,,,,,,,""
2,1,1,,,,,,,,,,,,,,,,,,,829083,,"* NTULA,TYPE 4,FRESH,RAW *BOILED*","A0DMF#F10.A166Y$F28.A07HS$F28.A07GL","Ethiopian eggplants,  QUAL=Fresh,  PROCESS=Raw, no heat treatment,  PROCESS=Boiling",,5.8,5.8,1,,0.1,,,0.3,,,,0,,,,,,1,0.01,0.01,,,,,,,,,0.11,0,0,0.04,,0,1,,,,,0,0,,,,,,,,""
2,1,1,,,,,,,,,,,,,,,,,,,829051,,"* ONION,SMALL TYPE,FRESH,RAW *BOILED*","A00HC#F28.A07GL$F10.A166Y$F10.A16YC","Onions, PROCESS = Boiling, QUALITATIVE-INFO = Fresh, QUALITATIVE-INFO = Small",,2,2,1,,0,,,0.2,,,,0,,,,,,0,0,0,,,,,,,,,0.12,0,0,0,,0,0,,,,,0,0,,,,,,,,""
2,1,1,,,,,,,,,,,,,,,,,,,829063,,"* TOMATO,FRESH,RIPE,RAW *BOILED*","A0DMX#F10.A07XL$F28.A07GL","Tomatoes, INFO=Ripe / mature, PROCESS=Boiling",,1.9,1.9,0,,0,,,0.1,,,,0,,,,,,0,0.01,0,,,,,,,,,0.21,0,0,0.01,,0,0,,,,,0,1,,,,,,,,""
2,1,1,,,,,,,,,,,,,,,,,,,5003,,"BANANA,MATOOKE,GREEN & FRESH,STEAMED","A0DQJ#F10.A07XM$F10.A166Y$F28.A07GP","Plantains - acuminata cultivars,  QUAL=Unripe / immature,  QUAL=Fresh,  PROCESS=Steaming",,292.4,292.4,392,,4.2,,,102.5,,,,1.2,,,,,,10,1.93,0.44,,,,,,,,,44.38,0.15,0.15,2.1,,0.91,57,,,,,0,162,,,,,,,,""
2,1,1,,,,,,,,,,,,,,,,,,,2003,,"CASSAVA ROOT,FRESH,W/O SKIN,STEAMED","A00ZZ#F10.A166Y$F20.A07QR$F28.A07GP","Cassava roots,  QUAL=Fresh,  PARTCON=W/o skin,  PROCESS=Steaming",,156.1,156.1,175,,1.5,,,41.6,,,,0.3,,,,,,17,0.28,0.36,,,,,,,,,16.87,0.08,0.05,0.87,,0.09,22,,,,,0,1,,,,,,,,""
2,1,1,,,,,,,,,,,,,,,,,,,30091,,"JACKFRUIT,RIPE,FRESH,RAW","A01LR#F10.A07XL","Jackfruits, INFO=Ripe / mature",,140.4,140.4,132,,2.1,,,33.7,,,,0.4,,,,,,48,0.84,0.59,,,,,,,,,9.41,0.04,0.15,0.56,,0.15,20,,,,,0,21,,,,,,,,""
2,1,1,,,,,,,,,,,,,,,,,,,18013,,"NAKATI,FRESH,STEAMED","A0DMF#F10.A166Y$F28.A07GP","Ethiopian eggplants,  QUAL=Fresh,  PROCESS=Steaming",,25.4,25.4,7,,0.7,,,1.2,,,,0.1,,,,,,42,0.39,0.09,,,,,,,,,4.54,0.01,0.03,0.16,,0.05,13,,,,,0,43,,,,,,,,""
2,1,1,,,,,,,,,,,,,,,,,,,29122,,"PUMPKIN,MATURE FRUIT,FRESH,STEAMED","A00KH#F10.A07XL$F28.A07GP","Pumpkins, INFO=Ripe / mature, PROCESS=Steaming",,106.1,106.1,44,,1.7,,,10.9,,,,0.2,,,,,,35,1.34,0.54,,,,,,,,,12.82,0.07,0.17,0.95,,0.08,23,,,,,0,587,,,,,,,,""
2,1,1,,,,,,,,,,,,,,,,,,,30033,,"Papaya,ripe,fresh,raw","A01LG#F10.A07XL","Papayas, INFO=Ripe / mature",,104.4,104.4,41,,0.6,,,10.2,,,,0.1,,,,,,25,0.1,0.07,,,,,,,,,64.55,0.03,0.03,0.36,,0.02,40,,,,,0,57,,,,,,,,""
2,1,1,,,,,,,,,,,,,,,,,,,4010,,"SWEET POTATO,YELLOW FLESH,FRESH,STEAMED","A010C#F28.A07GP$F10.A0F5H","Sweet potatoes, PROCESS = Steaming, QUALITATIVE-INFO = Yellow",,134.4,134.4,184,,3.4,,,43,,,,0.1,,,,,,61,1.24,0.62,,,,,,,,,3.86,0.13,0.13,1.14,,0.42,21,,,,,0,285,,,,,,,,""
2,1,1,,,,,,,,,,,,,,,,,,,725007,,"Vegetable oil,Bidco,Vitamin A fortified, cooked","A036N#F09.A0EXZ","Vegetable fats and oils, edible, FORT=Vitamin A(retinol, carotenoids)",,3.1,3.1,27,,0,,,0,,,,3.1,,,,,,0,0,0,,,,,,,,,0,0,0,0,,0,0,,,,,0,53,,,,,,,,""
3,1,1,,,,,,,,,,,,,,,,,,,805001,,"* BANANA,MATOOKE,GREEN & FRESH,RAW *BOILED*","A0DQJ#F10.A07XM$F10.A166Y$F28.A07GL","Plantains - acuminata cultivars,  QUAL=Unripe / immature,  QUAL=Fresh,  PROCESS=Boiling",,395.8,395.8,483,,5.1,,,126.2,,,,1.5,,,,,,11,2.37,0.55,,,,,,,,,50.98,0.16,0.2,2.45,,1.07,44,,,,,0,166,,,,,,,,""
3,1,1,,,,,,,,,,,,,,,,,,,808007,,"* GROUNDNUTS,ALL TYPES,GROUND (POWDERED),RAW *BOILED*","A015H#F03.A06JD$F28.A07HS$F28.A07GL","Peanuts,  STATE=Powder,  PROCESS=Raw, no heat treatment,  PROCESS=Boiling",,50.5,50.5,286,,13,,,8.1,,,,24.9,,,,,,46,2.31,1.65,,,,,,,,,0,0.27,0.07,5.79,,0.17,97,,,,,0,0,,,,,,,,""
3,1,1,,,,,,,,,,,,,,,,,,,829052,,"* ONION,LARGE TYPE,FRESH,RAW *BOILED*","A00HC#F28.A07GL$F10.A166Y$F10.A16YB","Onions, PROCESS = Boiling, QUALITATIVE-INFO = Fresh, QUALITATIVE-INFO = Large/big",,6.1,6.1,2,,0.1,,,0.6,,,,0,,,,,,1,0.01,0.01,,,,,,,,,0.38,0,0,0.01,,0.01,1,,,,,0,0,,,,,,,,""
3,1,1,,,,,,,,,,,,,,,,,,,829063,,"* TOMATO,FRESH,RIPE,RAW *BOILED*","A0DMX#F10.A07XL$F28.A07GL","Tomatoes, INFO=Ripe / mature, PROCESS=Boiling",,30.4,30.4,5,,0.3,,,1.2,,,,0.1,,,,,,3,0.08,0.05,,,,,,,,,3.29,0.01,0.01,0.17,,0.02,4,,,,,0,12,,,,,,,,""
3,1,1,,,,,,,,,,,,,,,,,,,11060,,"BEEF,MEDIUM FAT,FRESH,FRIED","A01QX#F10.A077B$F28.A07GR","Cow, ox or bull fresh meat, INFO=Half fat or medium fat, PROCESS=Frying",,151.3,151.3,517,,37.6,,,0,,,,39.6,,,,,,14,3.62,7.54,,,,,,,,,0,0.12,0.3,5.19,,0.47,11,,,,,4.75,0,,,,,,,,""
3,1,1,,,,,,,,,,,,,,,,,,,30091,,"JACKFRUIT,RIPE,FRESH,RAW","A01LR#F10.A07XL","Jackfruits, INFO=Ripe / mature",,70.2,70.2,66,,1,,,16.9,,,,0.2,,,,,,24,0.42,0.29,,,,,,,,,4.71,0.02,0.08,0.28,,0.08,10,,,,,0,11,,,,,,,,""
3,1,1,,,,,,,,,,,,,,,,,,,2115,,"POTATO,ALL VARIETIES,DEEP-FRIED (FRIES)","A00ZT#F28.A07GV","Potatoes,  PROCESS=Deep frying",,153.3,153.3,489,,6,,,60.5,,,,24.9,,,,,,23,2.96,0.81,,,,,,,,,7.82,0.28,0.09,3.8,,0.6,26,,,,,0,0,,,,,,,,""
3,1,1,,,,,,,,,,,,,,,,,,,26002,,"SUGAR,GRANULATED,ALL GRADES","A032H","Sucrose (common sugar)",,13.4,13.4,52,,0,,,13.4,,,,0,,,,,,0,0,0,,,,,,,,,0,0,0,0,,0,0,,,,,0,0,,,,,,,,""
3,1,1,,,,,,,,,,,,,,,,,,,16064,,"WHITE ANTS (ENSWA),FRESH,ROASTED","A02LQ#F28.A07GY$F10.A166Y$F26.A07XE","Insects, PROCESS = Roasting, QUALITATIVE-INFO = Fresh, GENERIC-TERM = Other",,50,50,298,,19.2,,,3,,,,23.5,,,,,,46,17.61,7.42,,,,,,,,,0,0.07,2.25,2.85,,0.27,3,,,,,1.38,0,,,,,,,,""
3,1,2,,,,,,,,,,,,,,,,,,,805001,,"* BANANA,MATOOKE,GREEN & FRESH,RAW *BOILED*","A0DQJ#F10.A07XM$F10.A166Y$F28.A07GL","Plantains - acuminata cultivars,  QUAL=Unripe / immature,  QUAL=Fresh,  PROCESS=Boiling",,319,319,389,,4.1,,,101.7,,,,1.2,,,,,,9,1.91,0.45,,,,,,,,,41.09,0.13,0.16,1.98,,0.86,35,,,,,0,134,,,,,,,,""
3,1,2,,,,,,,,,,,,,,,,,,,829001,,"* CABBAGE,GREEN,FRESH,RAW *BOILED*","A00FY#F28.A07GL$F10.A0F2Q$F10.A166Y","Head cabbages, PROCESS = Boiling, QUALITATIVE-INFO = Green, QUALITATIVE-INFO = Fresh",,283.2,283.2,71,,3.7,,,16.4,,,,0.3,,,,,,113,1.42,0.57,,,,,,,,,88.06,0.14,0.11,0.62,,0.31,105,,,,,0,14,,,,,,,,""
3,1,2,,,,,,,,,,,,,,,,,,,802020,,"* CASSAVA FLOUR,RAW *BOILED*","A16RD#F27.A04JX$F28.A07LA$F28.A07GL","Dried starchy roots and tuber products, SOURCE-COMMODITIES = Cassava roots and similar-, PROCESS = Grinding / milling / crushing, PROCESS = Boiling",,202.6,202.6,636,,5.3,,,155.2,,,,1.4,,,,,,64,3.85,1.42,,,,,,,,,116.69,0.51,0,2.55,,1.28,51,,,,,0,13,,,,,,,,""
3,1,2,,,,,,,,,,,,,,,,,,,808007,,"* GROUNDNUTS,ALL TYPES,GROUND (POWDERED),RAW *BOILED*","A015H#F03.A06JD$F28.A07HS$F28.A07GL","Peanuts,  STATE=Powder,  PROCESS=Raw, no heat treatment,  PROCESS=Boiling",,40.7,40.7,231,,10.5,,,6.6,,,,20,,,,,,37,1.86,1.33,,,,,,,,,0,0.22,0.05,4.67,,0.13,78,,,,,0,0,,,,,,,,""
3,1,2,,,,,,,,,,,,,,,,,,,801042,,"* MAIZE FLOUR,WHITE GRAIN,UNREFINED,RAW *BOILED*","A002Q#F20.A07QY$F28.A07GL","Maize flour, HOW=With husks, PROCESS=Boiling",,43.7,43.7,158,,3,,,33.6,,,,1.7,,,,,,3,1.04,0.76,,,,,,,,,0,0.09,0.03,0.75,,0.14,8,,,,,0,0,,,,,,,,""
3,1,2,,,,,,,,,,,,,,,,,,,809001,,"* MILK,COW,FRESH,WHOLE RAW *BOILED*","A02LY#F28.A07GL","Cow milk, whole, PROCESS=Boiling",,55,55,33,,1.8,,,2.5,,,,1.8,,,,,,62,0.02,0.22,,,,,,,,,0,0.02,0.1,0.06,,0.02,2,,,,,0.13,15,,,,,,,,""
